transaction_ref,merchant_id_raw,customer_id_raw,amount_raw,status_raw,payment_method_raw,channel_raw,created_at_raw,source_system
TX-00000031,87,1501,2206.46,failed,Card,POS,2026-06-17 18:47:00,partner_feed
TX-00000032,470,1822,7526.15,error,USSD,POS,2026-03-09 00:14:00,switch_api
TX-00000033,434,153,2960.91,success,Card,Web,2026-11-02 11:53:00,pos_gateway
TX-00000034,323,474,1756.62,success,USSD,POS,2026-11-03 18:16:00,switch_api
TX-00000035,259,934,4497.48,failed,Card,Mobile,2026-03-21 15:12:00,partner_feed
TX-00000036,250,33,1619.02,success,USSD,Mobile,2026-08-29 00:54:00,partner_feed
TX-00000037,9,1085,3309.1,failed,USSD,Web,2026-01-05 07:33:00,switch_api
TX-00000038,417,1430,1118.97,FAILED,Card,POS,2026-07-02 20:25:00,switch_api
TX-00000039,77,494,1534.42,SUCCESS,USSD,Mobile,2026-07-10 22:08:00,mobile_app
TX-00000040,182,548,3289.3,FAILED,Card,Web,2026-10-24 19:27:00,partner_feed
TX-00000041,290,499,4312.33,SUCCESS,Transfer,Mobile,2026-06-17 02:47:00,switch_api
TX-00000042,440,1331,3247.64,success,Card,Web,2026-08-27 00:25:00,partner_feed
TX-00000043,283,975,2813.48,success,USSD,POS,2026-05-18 07:45:00,pos_gateway
TX-00000044,256,1732,2564.32,FAILED,USSD,Web,2026-01-31 02:31:00,switch_api
TX-00000045,271,1883,1423.31,success,Card,POS,2026-11-22 18:48:00,partner_feed
TX-00000046,24,1893,2079.91,success,USSD,Web,2026-04-09 16:51:00,switch_api
TX-00000047,476,1742,2367.71,failed,Card,POS,2026-03-07 07:13:00,pos_gateway
TX-00000048,421,1460,5057.16,FAILED,Card,Web,2026-10-01 21:17:00,pos_gateway
TX-00000049,124,1161,3539.74,FAILED,USSD,Mobile,2026-07-25 07:56:00,mobile_app
TX-00000050,387,1515,1234.57,SUCCESS,USSD,Mobile,2026-05-20 18:05:00,switch_api
TX-00000051,382,1996,3505.34,failed,Card,POS,2026-07-02 07:59:00,partner_feed
TX-00000052,430,156,2458.87,failed,USSD,Mobile,2026-03-26 12:30:00,partner_feed
TX-00000053,168,61,2125.03,failed,Transfer,Web,2026-10-09 15:25:00,pos_gateway
TX-00000054,284,1928,4047.43,FAILED,Transfer,POS,2026-05-10 13:07:00,partner_feed
TX-00000055,396,1267,4991.54,failed,Card,Mobile,2026-02-01 04:48:00,switch_api
TX-00000056,138,316,4748.77,FAILED,USSD,Mobile,2026-01-30 20:51:00,pos_gateway
TX-00000057,200,649,1959.4,failed,Card,POS,2026-09-27 07:12:00,switch_api
TX-00000058,158,911,2553.94,failed,Transfer,POS,2026-12-10 07:42:00,pos_gateway
TX-00000059,96,883,3517.94,FAILED,USSD,Mobile,2026-02-01 18:48:00,partner_feed
TX-00000060,14,184,4855.04,failed,USSD,POS,2026-02-07 14:35:00,mobile_app
TX-00000061,198,26,2345.87,failed,Transfer,Web,2026-11-11 11:17:00,switch_api
TX-00000062,462,1146,2716.69,SUCCESS,USSD,Mobile,2026-09-21 21:46:00,pos_gateway
TX-00000063,195,348,1714.42,SUCCESS,Transfer,Web,2026-09-07 12:22:00,mobile_app
TX-00000064,75,130,1639.09,SUCCESS,Transfer,Web,2026-06-29 12:58:00,partner_feed
TX-00000065,248,1603,4475.01,success,Transfer,Web,2026-04-20 03:16:00,pos_gateway
TX-00000066,321,1016,5873.0,error,USSD,POS,2026-09-20 11:18:00,partner_feed
TX-00000067,70,624,2875.54,success,Transfer,Web,2026-02-08 22:44:00,partner_feed
TX-00000068,442,675,4923.46,FAILED,Transfer,Web,2026-10-20 18:07:00,pos_gateway
TX-00000069,165,1236,3571.78,SUCCESS,Transfer,Web,2026-04-20 09:14:00,pos_gateway
TX-00000070,496,654,2159.09,failed,USSD,Mobile,2026-05-25 23:52:00,partner_feed
TX-00000071,401,497,3571.35,failed,Transfer,Web,2026-07-29 16:06:00,partner_feed
TX-00000072,59,1909,6431.86,error,Card,Mobile,2026-05-13 21:33:00,pos_gateway
TX-00000073,394,1127,2928.04,success,USSD,Web,2026-09-06 04:53:00,pos_gateway
TX-00000074,409,597,6517.99,success,Transfer,Mobile,2026-06-09 15:16:00,partner_feed
TX-00000075,325,621,804.42,SUCCESS,Transfer,Mobile,2026-02-20 16:09:00,pos_gateway
TX-00000076,217,1617,4496.04,FAILED,Card,Web,2026-09-18 09:49:00,partner_feed
TX-00000077,206,1095,3113.56,error,USSD,Web,2026-07-31 23:43:00,switch_api
TX-00000078,496,737,2567.01,error,USSD,Mobile,2026-10-15 21:25:00,switch_api
TX-00000079,394,509,3120.91,failed,Card,Mobile,2026-02-09 19:41:00,switch_api
TX-00000080,331,1388,1103.47,FAILED,Transfer,Web,2026-07-25 01:29:00,switch_api
TX-00000081,51,530,2670.88,SUCCESS,USSD,Mobile,2026-01-04 20:10:00,pos_gateway
TX-00000082,192,802,3563.71,FAILED,USSD,Mobile,2026-06-12 07:16:00,pos_gateway
TX-00000083,13,989,6241.32,success,Transfer,Web,2026-05-06 14:22:00,switch_api
TX-00000084,426,1927,2300.46,SUCCESS,Transfer,Web,2026-02-12 06:13:00,mobile_app
TX-00000085,402,424,1989.73,error,Transfer,Web,2026-06-15 18:45:00,partner_feed
TX-00000086,225,1479,2319.53,FAILED,Transfer,POS,2026-02-05 13:02:00,mobile_app
TX-00000087,415,1456,4711.21,success,Card,Web,2026-01-17 06:26:00,switch_api
TX-00000088,410,337,3513.53,SUCCESS,USSD,POS,2026-09-04 12:56:00,pos_gateway
TX-00000089,287,874,2287.28,FAILED,Card,Web,2026-05-01 12:13:00,pos_gateway
TX-00000090,328,1347,3853.1,FAILED,Transfer,POS,2026-03-09 20:40:00,pos_gateway
TX-00000091,304,880,3129.22,FAILED,Card,Mobile,2026-06-13 16:26:00,pos_gateway
TX-00000092,143,1541,4838.32,success,USSD,POS,2026-03-16 22:10:00,pos_gateway
TX-00000093,167,404,2098.49,FAILED,Card,Web,2026-05-14 04:20:00,partner_feed
TX-00000094,495,1309,2530.49,failed,USSD,Web,2026-07-12 03:14:00,partner_feed
TX-00000095,59,713,2450.25,failed,Transfer,Mobile,2026-08-02 17:19:00,pos_gateway
TX-00000096,345,1446,1434.03,failed,USSD,Mobile,2026-10-24 06:33:00,switch_api
TX-00000097,69,642,3456.67,success,Card,Web,2026-09-02 16:59:00,switch_api
TX-00000098,192,1421,3396.59,SUCCESS,USSD,Web,2026-03-08 15:28:00,partner_feed
TX-00000099,71,1178,2988.59,FAILED,Transfer,POS,2026-08-06 03:38:00,partner_feed
TX-00000100,276,1421,2651.04,SUCCESS,USSD,POS,2026-08-20 09:05:00,partner_feed
TX-00000101,72,384,1468.97,failed,Transfer,Mobile,2026-04-16 03:52:00,switch_api
TX-00000102,184,1950,2415.54,success,Transfer,POS,2026-11-12 03:02:00,pos_gateway
TX-00000103,197,1974,2511.52,error,USSD,Mobile,2026-10-24 19:27:00,partner_feed
TX-00000104,351,1008,1995.92,FAILED,USSD,Web,2026-05-29 23:04:00,partner_feed
TX-00000105,43,1158,2750.0,success,Card,Web,2026-03-02 21:28:00,switch_api
TX-00000106,116,1102,3648.33,failed,Card,Web,2026-04-11 01:42:00,partner_feed
TX-00000107,262,232,7654.84,error,Card,Web,2026-07-20 03:34:00,mobile_app
TX-00000108,422,1550,3252.86,success,USSD,Web,2026-07-17 08:26:00,pos_gateway
TX-00000109,53,1508,3390.64,SUCCESS,Transfer,POS,2026-06-04 19:03:00,partner_feed
TX-00000110,179,1766,2872.04,success,Transfer,POS,2026-04-06 16:30:00,pos_gateway
TX-00000111,416,1511,1142.09,error,USSD,Web,2026-03-18 09:56:00,partner_feed
TX-00000112,316,286,2941.7,SUCCESS,Card,POS,2026-03-02 10:22:00,mobile_app
TX-00000113,144,1223,3072.1,error,Card,Web,2026-07-13 19:08:00,mobile_app
TX-00000114,294,548,10215.09,error,USSD,POS,2026-04-16 08:13:00,pos_gateway
TX-00000115,403,843,2707.6,success,Transfer,Mobile,2026-10-01 02:25:00,pos_gateway
TX-00000116,444,272,3466.06,SUCCESS,Card,Mobile,2026-09-13 09:09:00,mobile_app
TX-00000117,127,1560,2929.67,FAILED,Transfer,POS,2026-10-29 15:23:00,mobile_app
TX-00000118,213,769,1661.81,FAILED,Card,Mobile,2026-08-17 13:54:00,switch_api
TX-00000119,264,1536,5278.57,failed,USSD,Web,2026-05-27 16:09:00,partner_feed
TX-00000120,250,671,4341.46,error,Card,Mobile,2026-12-12 23:26:00,switch_api
TX-00000121,498,939,4427.17,failed,Card,Mobile,2026-09-24 02:58:00,partner_feed
TX-00000122,496,880,1891.84,SUCCESS,Transfer,Web,2026-03-21 07:25:00,mobile_app
TX-00000123,146,692,6011.31,error,USSD,POS,2026-10-29 14:10:00,partner_feed
TX-00000124,176,1832,1478.93,success,Card,POS,2026-10-15 00:18:00,partner_feed
TX-00000125,64,1904,3997.52,SUCCESS,Transfer,Web,2026-01-06 22:16:00,switch_api
TX-00000126,104,1411,8912.66,SUCCESS,USSD,Web,2026-06-05 18:10:00,pos_gateway
TX-00000127,478,1796,1816.62,failed,Card,Mobile,2026-11-15 08:49:00,mobile_app
TX-00000128,43,762,2245.88,SUCCESS,Card,Web,2026-04-02 03:56:00,mobile_app
TX-00000129,359,1547,3133.25,SUCCESS,Transfer,Mobile,2026-09-22 07:46:00,switch_api
TX-00000130,49,3,2317.54,SUCCESS,Transfer,POS,2026-09-14 05:00:00,pos_gateway
TX-00000131,116,1064,1372.88,FAILED,Card,POS,2026-08-05 03:39:00,mobile_app
TX-00000132,62,1762,3084.92,FAILED,USSD,POS,2026-10-25 12:00:00,partner_feed
TX-00000133,118,785,1752.59,success,USSD,POS,2026-01-26 18:54:00,switch_api
TX-00000134,189,1805,3777.42,failed,Card,Web,2026-04-25 02:06:00,pos_gateway
TX-00000135,347,293,1882.37,success,USSD,Mobile,2026-08-22 14:10:00,switch_api
TX-00000136,333,337,6470.23,FAILED,Transfer,Mobile,2026-08-11 05:03:00,pos_gateway
TX-00000137,384,311,2015.0,FAILED,USSD,Mobile,2026-08-17 16:14:00,partner_feed
TX-00000138,112,178,2537.59,success,Card,POS,2026-11-10 02:28:00,partner_feed
TX-00000139,494,880,4477.22,failed,Card,POS,2026-05-08 23:45:00,mobile_app
TX-00000140,44,509,1610.93,error,USSD,Mobile,2026-08-23 16:46:00,mobile_app
TX-00000141,482,1415,3340.01,success,USSD,Web,2026-10-11 14:44:00,pos_gateway
TX-00000142,311,1044,5730.58,SUCCESS,USSD,Web,2026-07-08 12:09:00,mobile_app
TX-00000143,28,1606,1334.43,SUCCESS,Transfer,Web,2026-08-24 06:19:00,switch_api
TX-00000144,256,1307,3269.25,error,Card,Mobile,2026-03-29 18:36:00,switch_api
TX-00000145,479,649,3394.6,SUCCESS,Transfer,Mobile,2026-05-12 11:19:00,partner_feed
TX-00000146,280,1399,4406.83,SUCCESS,Transfer,POS,2026-05-14 01:01:00,switch_api
TX-00000147,35,29,1606.04,failed,Card,POS,2026-08-02 20:27:00,switch_api
TX-00000148,405,816,1540.36,error,Transfer,Mobile,2026-12-12 09:41:00,partner_feed
TX-00000149,360,824,3869.85,success,USSD,Mobile,2026-06-04 05:15:00,pos_gateway
TX-00000150,43,635,3458.16,success,USSD,POS,2026-04-12 00:33:00,pos_gateway
TX-00000151,168,801,3378.7,error,USSD,Mobile,2026-07-15 07:02:00,switch_api
TX-00000152,358,896,3544.75,SUCCESS,Card,POS,2026-04-23 22:18:00,switch_api
TX-00000153,223,238,2121.73,FAILED,USSD,Mobile,2026-12-03 15:31:00,switch_api
TX-00000154,342,1519,3348.03,SUCCESS,Card,POS,2026-04-23 14:37:00,pos_gateway
TX-00000155,6,336,3451.4,FAILED,Transfer,Mobile,2026-09-13 09:47:00,mobile_app
TX-00000156,191,260,2085.63,failed,USSD,POS,2026-03-02 18:56:00,switch_api
TX-00000157,414,880,7577.11,failed,USSD,POS,2026-05-02 23:22:00,mobile_app
TX-00000158,500,1181,3777.87,success,Transfer,Web,2026-09-17 08:22:00,mobile_app
TX-00000159,256,1760,1643.11,error,Card,Web,2026-01-21 04:26:00,pos_gateway
TX-00000160,396,211,4139.28,error,USSD,Mobile,2026-04-03 21:14:00,switch_api
TX-00000161,380,1043,1831.08,success,Card,POS,2026-03-25 03:49:00,pos_gateway
TX-00000162,242,746,4418.44,FAILED,Card,POS,2026-01-17 17:47:00,switch_api
TX-00000163,412,1872,5320.37,FAILED,Card,Web,2026-07-21 07:00:00,pos_gateway
TX-00000164,469,1476,1977.64,failed,Transfer,POS,2026-06-01 13:18:00,mobile_app
TX-00000165,258,1379,4825.59,success,Card,POS,2026-02-13 11:20:00,switch_api
TX-00000166,36,1797,3664.29,FAILED,Transfer,Web,2026-05-26 23:20:00,mobile_app
TX-00000167,284,936,4496.39,success,Transfer,POS,2026-02-01 10:50:00,mobile_app
TX-00000168,402,623,7695.54,error,Card,Web,2026-07-25 06:37:00,mobile_app
TX-00000169,498,1011,2636.76,SUCCESS,USSD,Mobile,2026-08-04 10:16:00,pos_gateway
TX-00000170,4,1910,2044.96,FAILED,Card,POS,2026-02-24 19:40:00,mobile_app
TX-00000171,430,1421,1910.73,success,Transfer,POS,2026-08-20 12:56:00,partner_feed
TX-00000172,378,1490,1982.46,failed,Card,POS,2026-11-06 02:43:00,pos_gateway
TX-00000173,252,1969,2868.23,success,Card,Mobile,2026-06-02 20:24:00,mobile_app
TX-00000174,23,1887,3535.38,SUCCESS,USSD,Web,2026-02-03 20:52:00,mobile_app
TX-00000175,499,1532,3423.25,success,USSD,POS,2026-06-16 22:04:00,pos_gateway
TX-00000176,420,808,4507.92,success,USSD,Mobile,2026-08-21 00:04:00,switch_api
TX-00000177,340,1975,3000.4,SUCCESS,Card,Web,2026-06-08 08:56:00,mobile_app
TX-00000178,162,1897,6165.76,FAILED,USSD,Mobile,2026-11-06 19:23:00,mobile_app
TX-00000179,232,557,2611.48,SUCCESS,Card,POS,2026-04-26 19:13:00,pos_gateway
TX-00000180,395,1198,11615.37,success,Card,POS,2026-10-11 23:11:00,pos_gateway
TX-00000181,239,644,4075.85,FAILED,Card,Mobile,2026-06-13 16:22:00,mobile_app
TX-00000182,107,926,1941.9,failed,Transfer,Web,2026-10-08 11:18:00,switch_api
TX-00000183,81,1654,1745.08,failed,USSD,Mobile,2026-02-02 22:06:00,switch_api
TX-00000184,428,1755,3794.23,failed,Card,POS,2026-03-20 06:52:00,pos_gateway
TX-00000185,203,1052,2665.82,success,USSD,Web,2026-05-10 12:31:00,mobile_app
TX-00000186,90,64,4259.9,FAILED,Transfer,Mobile,2026-10-26 14:03:00,pos_gateway
TX-00000187,237,209,3776.75,SUCCESS,Card,POS,2026-02-04 11:43:00,switch_api
TX-00000188,400,456,2874.36,SUCCESS,Card,Web,2026-10-30 07:54:00,mobile_app
TX-00000189,323,1921,1951.99,success,USSD,Mobile,2026-09-07 20:51:00,mobile_app
TX-00000190,417,154,1397.69,success,Card,POS,2026-12-01 00:36:00,partner_feed
TX-00000191,66,189,2384.49,failed,Card,POS,2026-10-22 15:45:00,partner_feed
TX-00000192,87,1893,4574.26,error,Transfer,Mobile,2026-01-19 10:28:00,partner_feed
TX-00000193,16,784,3317.77,FAILED,Card,Web,2026-06-30 15:13:00,pos_gateway
TX-00000194,96,564,1599.0,failed,Transfer,POS,2026-11-27 16:53:00,switch_api
TX-00000195,318,1264,3250.59,SUCCESS,USSD,Web,2026-08-12 14:08:00,partner_feed
TX-00000196,452,1128,3614.32,FAILED,Card,POS,2026-05-31 00:02:00,mobile_app
TX-00000197,71,859,1916.15,SUCCESS,USSD,Mobile,2026-05-20 10:50:00,pos_gateway
TX-00000198,411,1114,3219.12,success,Transfer,Mobile,2026-08-18 15:36:00,mobile_app
TX-00000199,279,1601,3068.99,FAILED,Transfer,Mobile,2026-06-24 15:32:00,mobile_app
TX-00000200,139,369,1683.31,success,Transfer,Mobile,2026-05-22 09:43:00,pos_gateway
TX-00000201,459,1661,3564.91,failed,Card,Web,2026-01-11 16:03:00,mobile_app
TX-00000202,300,477,3945.74,SUCCESS,Card,POS,2026-10-07 04:46:00,pos_gateway
TX-00000203,274,1672,5123.15,success,Card,Mobile,2026-04-08 00:56:00,partner_feed
TX-00000204,479,1719,5048.78,SUCCESS,Card,POS,2026-05-10 04:19:00,mobile_app
TX-00000205,378,1429,1496.92,failed,USSD,POS,2026-10-21 12:46:00,mobile_app
TX-00000206,291,1155,1865.13,SUCCESS,USSD,POS,2026-12-11 23:53:00,partner_feed
TX-00000207,159,360,3856.51,FAILED,Card,POS,2026-07-17 09:09:00,switch_api
TX-00000208,309,449,3854.1,success,USSD,Web,2026-03-26 16:41:00,switch_api
TX-00000209,470,1258,3856.53,SUCCESS,Card,Web,2026-05-01 18:44:00,pos_gateway
TX-00000210,411,1730,20462.84,failed,Card,POS,2026-12-01 12:25:00,pos_gateway
TX-00000211,361,1879,3965.73,SUCCESS,Card,Mobile,2026-08-02 13:52:00,mobile_app
TX-00000212,192,1443,5259.46,FAILED,USSD,POS,2026-01-27 09:47:00,mobile_app
TX-00000213,166,280,4803.02,SUCCESS,USSD,Web,2026-04-20 20:51:00,partner_feed
TX-00000214,163,357,4128.61,error,USSD,Mobile,2026-08-25 08:37:00,mobile_app
TX-00000215,341,1207,2546.22,SUCCESS,Transfer,Web,2026-03-23 06:40:00,mobile_app
TX-00000216,91,1493,4356.76,success,USSD,Mobile,2026-02-16 08:47:00,partner_feed
TX-00000217,395,1977,2025.53,error,Card,POS,2026-11-06 18:01:00,mobile_app
TX-00000218,415,1982,2648.08,error,Card,Mobile,2026-12-02 08:09:00,switch_api
TX-00000219,255,289,2338.62,failed,USSD,POS,2026-12-08 00:54:00,pos_gateway
TX-00000220,164,344,3105.52,success,USSD,Mobile,2026-05-07 06:28:00,mobile_app
TX-00000221,6,544,9483.69,SUCCESS,Card,Mobile,2026-06-12 14:42:00,switch_api
TX-00000222,132,1612,1171.88,success,USSD,POS,2026-05-08 14:33:00,switch_api
TX-00000223,225,1501,4201.22,FAILED,Card,Web,2026-05-21 12:22:00,partner_feed
TX-00000224,194,720,1330.94,error,Transfer,POS,2026-11-18 01:01:00,partner_feed
TX-00000225,443,1184,2354.38,SUCCESS,Card,Web,2026-10-15 04:01:00,switch_api
TX-00000226,434,69,5138.29,failed,Card,Web,2026-10-18 23:28:00,mobile_app
TX-00000227,54,152,3078.32,failed,Card,Web,2026-12-13 11:45:00,pos_gateway
TX-00000228,39,1121,1739.11,success,Transfer,Mobile,2026-09-24 12:10:00,partner_feed
TX-00000229,16,884,2084.63,SUCCESS,USSD,Web,2026-09-14 12:03:00,pos_gateway
TX-00000230,52,679,4187.25,SUCCESS,Card,Web,2026-01-20 11:58:00,mobile_app
TX-00000231,145,610,2068.99,SUCCESS,Card,POS,2026-08-29 12:23:00,partner_feed
TX-00000232,282,1721,3321.69,FAILED,Card,POS,2026-07-28 04:12:00,mobile_app
TX-00000233,219,180,3049.66,failed,USSD,Mobile,2026-01-02 09:20:00,partner_feed
TX-00000234,50,53,2152.1,SUCCESS,Card,Mobile,2026-03-14 16:47:00,mobile_app
TX-00000235,243,1729,8707.78,success,Transfer,Web,2026-01-30 19:58:00,partner_feed
TX-00000236,459,1354,4092.7,failed,Card,Mobile,2026-06-28 01:47:00,partner_feed
TX-00000237,190,1814,1082.93,FAILED,Transfer,POS,2026-03-09 07:31:00,partner_feed
TX-00000238,135,901,3272.23,FAILED,Transfer,POS,2026-01-17 05:52:00,mobile_app
TX-00000239,32,310,2141.17,success,Card,Mobile,2026-07-25 10:27:00,mobile_app
TX-00000240,278,848,4565.2,error,Card,Mobile,2026-10-22 05:59:00,switch_api
TX-00000241,199,1677,2005.68,error,Transfer,Mobile,2026-11-03 02:59:00,partner_feed
TX-00000242,452,483,2814.76,FAILED,Transfer,POS,2026-07-28 12:27:00,partner_feed
TX-00000243,438,1463,3837.18,success,USSD,Mobile,2026-11-25 16:35:00,pos_gateway
TX-00000244,487,1551,4595.71,FAILED,Card,POS,2026-02-13 19:02:00,pos_gateway
TX-00000245,99,259,1635.74,success,Transfer,POS,2026-10-22 08:26:00,partner_feed
TX-00000246,422,1285,2521.85,SUCCESS,USSD,Web,2026-03-15 12:23:00,mobile_app
TX-00000247,373,1873,2350.84,success,Card,Web,2026-11-28 14:43:00,partner_feed
TX-00000248,167,1755,2150.24,failed,USSD,Web,2026-07-20 23:55:00,switch_api
TX-00000249,359,1277,7206.42,error,USSD,Web,2026-10-14 08:59:00,switch_api
TX-00000250,77,304,3650.03,error,USSD,Mobile,2026-05-31 21:27:00,switch_api
TX-00000251,55,1153,1586.93,success,Transfer,Mobile,2026-12-03 18:08:00,mobile_app
TX-00000252,211,541,4717.01,FAILED,USSD,Web,2026-11-16 15:09:00,partner_feed
TX-00000253,89,565,8613.43,FAILED,Card,Mobile,2026-01-14 15:22:00,partner_feed
TX-00000254,203,1822,4995.2,failed,USSD,POS,2026-01-15 02:53:00,switch_api
TX-00000255,244,1886,1394.53,failed,Transfer,POS,2026-09-29 12:27:00,mobile_app
TX-00000256,407,621,2339.95,failed,Transfer,Web,2026-10-25 14:25:00,switch_api
TX-00000257,117,276,5616.45,failed,USSD,Web,2026-11-13 08:33:00,mobile_app
TX-00000258,374,854,2092.61,error,USSD,POS,2026-04-09 02:13:00,pos_gateway
TX-00000259,109,1871,3721.6,FAILED,USSD,Web,2026-06-10 19:46:00,mobile_app
TX-00000260,29,1056,4391.02,SUCCESS,Card,Web,2026-10-26 22:09:00,partner_feed
TX-00000261,400,1744,1875.32,error,USSD,POS,2026-02-19 09:19:00,pos_gateway
TX-00000262,449,1706,2893.54,SUCCESS,Card,POS,2026-03-12 04:23:00,switch_api
TX-00000263,26,1881,589.55,failed,USSD,POS,2026-06-16 04:30:00,mobile_app
TX-00000264,422,951,1786.13,error,Transfer,Mobile,2026-05-15 02:42:00,switch_api
TX-00000265,16,496,2627.31,failed,Transfer,Mobile,2026-09-06 00:11:00,partner_feed
TX-00000266,492,1783,1597.36,FAILED,USSD,Mobile,2026-03-06 15:44:00,mobile_app
TX-00000267,84,1716,6742.63,failed,USSD,Mobile,2026-05-06 08:05:00,switch_api
TX-00000268,15,792,1458.16,success,Card,Mobile,2026-04-14 18:58:00,pos_gateway
TX-00000269,114,1326,2392.22,SUCCESS,USSD,POS,2026-11-09 01:33:00,mobile_app
TX-00000270,210,1052,3182.33,success,USSD,POS,2026-08-26 05:39:00,partner_feed
TX-00000271,68,1326,6128.08,SUCCESS,USSD,POS,2026-11-28 20:56:00,pos_gateway
TX-00000272,312,1649,1453.99,failed,USSD,Mobile,2026-04-02 21:25:00,mobile_app
TX-00000273,459,772,5332.53,failed,Transfer,Web,2026-06-04 07:16:00,pos_gateway
TX-00000274,155,1387,2996.25,error,USSD,Web,2026-06-19 22:04:00,switch_api
TX-00000275,262,1357,1824.84,failed,USSD,Mobile,2026-01-03 16:12:00,mobile_app
TX-00000276,351,222,3755.78,FAILED,Card,Web,2026-04-19 16:07:00,mobile_app
TX-00000277,167,1765,3292.92,failed,Transfer,Mobile,2026-08-22 05:36:00,mobile_app
TX-00000278,77,1060,2208.11,SUCCESS,Card,Mobile,2026-03-10 13:54:00,partner_feed
TX-00000279,164,1395,3086.83,SUCCESS,USSD,POS,2026-08-29 11:48:00,partner_feed
TX-00000280,133,1858,2458.59,FAILED,Transfer,Web,2026-04-18 15:01:00,switch_api
TX-00000281,363,1172,3155.05,SUCCESS,Transfer,Mobile,2026-08-01 06:32:00,pos_gateway
TX-00000282,274,1308,4150.84,FAILED,USSD,Web,2026-09-07 21:08:00,mobile_app
TX-00000283,88,1722,6588.02,error,Card,Web,2026-11-04 19:23:00,switch_api
TX-00000284,66,1518,1605.34,failed,USSD,Mobile,2026-06-21 09:44:00,pos_gateway
TX-00000285,349,1843,8660.4,failed,USSD,POS,2026-12-11 18:20:00,pos_gateway
TX-00000286,115,1525,1123.22,failed,Transfer,Web,2026-05-10 08:30:00,mobile_app
TX-00000287,300,603,2763.1,FAILED,Card,Web,2026-04-05 20:48:00,switch_api
TX-00000288,325,1196,4000.44,error,USSD,POS,2026-11-12 10:39:00,partner_feed
TX-00000289,100,1025,3430.62,success,USSD,Web,2026-11-20 19:55:00,mobile_app
TX-00000290,28,1784,2183.43,SUCCESS,Card,POS,2026-05-31 09:47:00,mobile_app
TX-00000291,292,1829,2686.35,FAILED,Card,Web,2026-05-29 23:34:00,pos_gateway
TX-00000292,42,999,2329.71,failed,USSD,POS,2026-10-11 14:29:00,mobile_app
TX-00000293,30,10,2220.12,FAILED,Transfer,POS,2026-08-20 00:20:00,pos_gateway
TX-00000294,392,325,4558.74,FAILED,Card,POS,2026-07-29 19:36:00,partner_feed
